english_title;german_title;rated;released;genre;director;writer;type;imdb_rating;tag
Shrek Forever After;Für immer Shrek;PG;2010;Animation, Adventure, Comedy;Mike Mitchell;Josh Klausner, Darren Lemke, William Steig;movie;6.3;Shrek
Puss in Boots;Der gestiefelte Kater;PG;2011;Animation, Action, Adventure;Chris Miller;Tom Wheeler, Brian Lynch, William Davies;movie;6.6;Der gestiefelte Kater, Puss in Boots
Puss in Boots: The Last Wish;Der gestiefelte Kater: Der letzte Wunsch;PG;2022;Animation, Action, Adventure;Joel Crawford, Januel Mercado;Paul Fisher, Tommy Swerdlow, Tom Wheeler;movie;7.8;Der gestiefelte Kater, Puss in Boots
Ice Age;Ice Age;PG;2002;Animation, Adventure, Comedy;Chris Wedge, Carlos Saldanha;Michael J. Wilson, Michael Berg, Peter Ackerman;movie;7.5;Ice Age
Ice Age: The Meltdown;Ice Age 2 – Jetzt taut’s;PG;2006;Animation, Adventure, Comedy;Carlos Saldanha;Peter Gaulke, Gerry Swallow, Jim Hecht;movie;6.8;Ice Age
Ice Age: Dawn of the Dinosaurs;Ice Age 3 – Die Dinosaurier sind los;PG;2009;Animation, Adventure, Comedy;Carlos Saldanha, Michael Thurmeier;Michael Berg, Peter Ackerman, Mike Reiss;movie;6.9;Ice Age
Ice Age: Continental Drift;Ice Age 4 – Voll verschoben;PG;2012;Animation, Adventure, Comedy;Steve Martino, Michael Thurmeier;Michael Berg, Jason Fuchs, Lori Forte;movie;6.5;Ice Age
Ice Age: Collision Course;Ice Age – Kollision voraus!;PG;2016;Animation, Adventure, Comedy;Michael Thurmeier, Galen T. Chu;Michael J. Wilson, Michael Berg, Yoni Brenner;movie;5.7;Ice Age
Kung Fu Panda;Kung Fu Panda;PG;2008;Animation, Action, Adventure;Mark Osborne, John Stevenson;Jonathan Aibel, Glenn Berger, Ethan Reiff;movie;7.6;Kung Fu Panda
Kung Fu Panda 2;Kung Fu Panda 2;PG;2011;Animation, Action, Adventure;Jennifer Yuh Nelson;Jonathan Aibel, Glenn Berger, Ethan Reiff;movie;7.3;Kung Fu Panda
Kung Fu Panda 3;Kung Fu Panda 3;PG;2016;Animation, Action, Adventure;Alessandro Carloni, Jennifer Yuh Nelson;Jonathan Aibel, Glenn Berger, Ethan Reiff;movie;7.1;Kung Fu Panda
Kung Fu Panda 4;Kung Fu Panda 4;PG;2024;Animation, Action, Adventure;Mike Mitchell, Stephanie Stine;Jonathan Aibel, Glenn Berger, Darren Lemke;movie;6.3;Kung Fu Panda
Kung Fu Panda: Secrets of the Furious Five;Die Geheimnisse der fünf Kung-Fu-Krieger;TV-PG;2008;Animation, Short, Action, Comedy, Family;Raman Hui;Paul McEvoy (screenplay), Todd Berger (screenplay), Jed Diffenderfer (story concept);movie;7.1;Kung Fu Panda
Kung Fu Panda Holiday;Kung Fu Panda – Ein winterliches Festmahl;Not Rated;2010;Animation, Short, Comedy;Tim Johnson;Jonathan Groff, Jon Pollack, Ethan Reiff;movie;6.7;Kung Fu Panda
Kung Fu Panda: The Dragon Knight;Kung Fu Panda: Der Drachenritter (Serie);TV-Y7;2022;Animation, Action, Adventure;;;series;6.1;Kung Fu Panda
John Wick;John Wick;R;2014;Action, Crime, Thriller;Chad Stahelski;Derek Kolstad;movie;7.4;John Wick
John Wick: Chapter 2;John Wick: Kapitel 2;R;2017;Action, Crime, Thriller;Chad Stahelski;Derek Kolstad;movie;7.4;John Wick
John Wick: Chapter 3 – Parabellum;John Wick: Kapitel 3;R;2019;Action, Crime, Thriller;Chad Stahelski;Derek Kolstad, Shay Hatten, Chris Collins;movie;7.4;John Wick
John Wick: Chapter 4;John Wick: Kapitel 4;R;2023;Action, Crime, Thriller;Chad Stahelski;Shay Hatten, Michael Finch, Derek Kolstad;movie;7.6;John Wick
Ballerina;Ballerina;TV-MA;2023;Action, Thriller;Chung-Hyun Lee;Chung-Hyun Lee;movie;6.3;John Wick
The Continental;The Continental: Aus der Welt von John Wick;TV-MA;2023;Action, Crime, Thriller;;Greg Coolidge, Shawn Simmons, Kirk Ward;series;7.2;John Wick
How to Train Your Dragon;Drachenzähmen leicht gemacht;PG;2010;Animation, Action, Adventure;Dean DeBlois, Chris Sanders;William Davies, Dean DeBlois, Chris Sanders;movie;8.1;Drachenzähmen leicht gemacht, How to Train Your Dragon
